bicipuerto,      status,      available-bikes,      capacity,      free-space,      long,      station-desc,      lat
GDL-054,In Service,16,23,7,-103.342049, Av. Vallarta esquina Calzada Independencia,20.675421
GDL-055,In Service,2,15,13,-103.345366, C. Degollado esquina C. Prisciliano Sánchez,20.672696
GDL-056,In Service,5,15,10,-103.347422, Av. 16 de Sept. esquina C. Miguel Blanco,20.671971
GDL-057,In Service,7,11,4,-103.349573, C. Ocampo esquina C. Prisciliano Sánchez,20.672516
GDL-058,In Service,7,11,4,-103.353542, C. Pavo esquina C. Prisciliano Sánchez,20.672641
GDL-059,In Service,5,15,10,-103.355508, C. Miguel Blanco esquina C. Penitenciaria,20.672231
GDL-060,In Service,4,23,19,-103.357684, C. Maderoesquina C. Camarena,20.6734
GDL-061,In Service,5,19,14,-103.361274, C. Libertad esquina C. Argentina,20.671778
GDL-062,In Service,13,15,2,-103.365055, C. Libertad esquina C. Moscú,20.673072
GDL-063,In Service,22,23,1,-103.366139, C. Colonias esquina C. López Cotilla,20.674132
GDL-064,In Service,14,19,5,-103.370571, C. Marsella esquina C. López Cotilla,20.673321
GDL-065,In Service,4,15,9,-103.372584, C. Simón Bolivar esquina Av. La Paz,20.672372
GDL-066,In Service,6,15,9,-103.371786,C. Lerdo de TejadaesquinaC. Gral. Sn Martín,20.671364
GDL-067,In Service,0,19,19,-103.3555917, Calzada Federalismo esquina C. Vidrio,20.6668825
GDL-068,In Service,8,19,11,-103.368306, C. Guadalupe Zuno esquina Av. Chapultepec,20.670512
GDL-069,In Service,9,15,6,-103.366071, C. Colonias esquina C. Guadalupe Zuno,20.670468
GDL-070,In Service,11,11,0,-103.363633, Av. La Paz esquina C. Juan de Ojeda,20.671455
GDL-071,In Service,2,11,9,-103.359537, Av. La Paz esquina Av. Enrique Díaz de León,20.670362
GDL-072,In Service,0,15,15,-103.357589, Av. La Paz esquina C. Camarena,20.67056
GDL-073,In Service,2,19,17,-103.355032, Av. La Paz esquina Av. Federalismo,20.669955
GDL-074,In Service,2,11,9,-103.351651, C. Enrique González esquina C. Libertad,20.67131
GDL-075,In Service,3,11,8,-103.348768, C. Rio Seco esquina C. Nueva Galicia,20.669628
GDL-076,In Service,6,15,9,-103.346195, C. Ramón Corona esquina C. Libertad,20.670243
GDL-077,In Service,4,15,10,-103.36134, C. Argentina esquina C. Pedro Moreno,20.675631
GDL-078,In Service,4,11,7,-103.346775, C. Comercio esquina C. La Paz,20.667946
GDL-080,In Service,11,15,4,-103.373252, C. Manuel Acuña esquina Av. Américas,20.68432
GDL-081,In Service,9,11,2,-103.363338, C. Venezuela esquina Av. Niños Héroes,20.667352
GDL-082,In Service,8,15,7,-103.362535,C. Gdpe. MontenegroesquinaC. Nuño de Guzman,20.669326
GDL-083,In Service,6,15,9,-103.3595222, C. Vidrio esquina Av. Enrique Díaz De León,20.667532
GDL-084,In Service,5,19,14,-103.368312, C. Montenegro esquina Av. Chapultepec,20.669306
GDL-085,In Service,8,15,6,-103.373378,C. Gdpe. Zunoesquina Av. Unión,20.670426
